Best cost: 16701.461846829057
Route #1: [0, 43, 9, 8, 13, 26, 66, 75, 64, 86, 50, 94, 0]
Route #2: [0, 90, 38, 32, 99, 56, 30, 49, 98, 23, 68, 21, 0]
Route #3: [0, 6, 67, 16, 71, 5, 27, 87, 83, 12, 31, 7, 0]
Route #4: [0, 61, 42, 25, 70, 73, 48, 60, 96, 65, 35, 14, 0]
Route #5: [0, 63, 28, 80, 2, 84, 41, 4, 29, 91, 10, 18, 0]
Route #6: [0, 53, 81, 46, 44, 20, 74, 19, 40, 3, 36, 52, 0]
Route #7: [0, 15, 92, 79, 85, 59, 93, 17, 51, 54, 88, 37, 0]
Route #8: [0, 58, 69, 97, 34, 1, 95, 22, 11, 57, 24, 45, 0]
Route #9: [0, 62, 47, 55, 39, 76, 89, 72, 82, 78, 77, 33, 0]
Route #10: [0, 0]
