Best cost: 17986.506725619485
Route #1: [0, 95, 87, 7, 35, 97, 44, 16, 82, 83, 28, 8, 0]
Route #2: [0, 1, 49, 89, 92, 94, 76, 9, 52, 64, 37, 10, 0]
Route #3: [0, 20, 4, 61, 33, 29, 50, 98, 46, 38, 21, 72, 0]
Route #4: [0, 86, 15, 54, 71, 56, 80, 55, 41, 39, 18, 13, 0]
Route #5: [0, 31, 23, 75, 91, 65, 5, 14, 2, 40, 22, 68, 0]
Route #6: [0, 73, 84, 93, 60, 51, 96, 12, 90, 32, 62, 26, 0]
Route #7: [0, 85, 45, 88, 77, 63, 53, 27, 3, 58, 70, 25, 0]
Route #8: [0, 11, 34, 24, 48, 74, 6, 99, 69, 57, 36, 43, 0]
Route #9: [0, 67, 17, 66, 47, 78, 19, 79, 59, 81, 42, 30, 0]
Route #10: [0, 0]
